epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3953,1.08853,2.54387,1.30888,0.46181,0.37542,0.35924,0.24519,1.11662,1.8888,1.31744,0.000332461,0.000332461,0.000332461
2,91.9571,1.07104,1.89083,1.28494,0.53554,0.42431,0.43239,0.31064,1.10488,1.67357,1.30694,0.000652611,0.000652611,0.000652611
3,135.744,1.0704,1.77109,1.29464,0.51994,0.37562,0.38341,0.27449,1.12077,1.68558,1.34114,0.000959562,0.000959562,0.000959562
4,179.59,1.05398,1.64901,1.27433,0.55866,0.40074,0.42542,0.30983,1.06891,1.6788,1.29843,0.0009406,0.0009406,0.0009406
5,223.221,1.02574,1.55762,1.25796,0.60048,0.47692,0.51346,0.37618,1.03341,1.40157,1.27016,0.0009208,0.0009208,0.0009208
6,268.58,0.99382,1.45803,1.24425,0.62693,0.47446,0.51336,0.38073,1.0221,1.42769,1.25016,0.000901,0.000901,0.000901
7,315.94,0.97863,1.4209,1.2308,0.68969,0.49759,0.56681,0.42727,0.97914,1.2833,1.22969,0.0008812,0.0008812,0.0008812
8,367.045,0.9488,1.36488,1.2203,0.64292,0.51402,0.56182,0.41682,0.98121,1.33078,1.22435,0.0008614,0.0008614,0.0008614
9,410.399,0.94958,1.33056,1.21343,0.67463,0.50954,0.58086,0.43881,0.95338,1.32414,1.20564,0.0008416,0.0008416,0.0008416
10,453.998,0.94271,1.29605,1.20629,0.68797,0.52937,0.58325,0.43744,0.93785,1.22069,1.19413,0.0008218,0.0008218,0.0008218
11,497.249,0.92198,1.2653,1.19928,0.69363,0.53941,0.6048,0.45906,0.93785,1.19311,1.18476,0.000802,0.000802,0.000802
12,540.733,0.92408,1.22663,1.18857,0.70954,0.55353,0.62587,0.48432,0.91217,1.14117,1.1749,0.0007822,0.0007822,0.0007822
13,584.496,0.89317,1.1953,1.18325,0.73882,0.5499,0.63316,0.48599,0.91129,1.10219,1.18184,0.0007624,0.0007624,0.0007624
14,628.945,0.88792,1.16706,1.17665,0.71101,0.57248,0.63842,0.48915,0.90839,1.07924,1.16965,0.0007426,0.0007426,0.0007426
15,672.506,0.87883,1.15011,1.17059,0.73815,0.56647,0.64319,0.49258,0.90957,1.09336,1.17751,0.0007228,0.0007228,0.0007228
16,715.951,0.87639,1.13609,1.17339,0.74543,0.57632,0.6588,0.50635,0.90091,1.05033,1.16525,0.000703,0.000703,0.000703
17,759.365,0.85586,1.09622,1.16119,0.72973,0.5809,0.6609,0.50899,0.88415,1.06494,1.15497,0.0006832,0.0006832,0.0006832
18,802.855,0.86075,1.09051,1.15923,0.76889,0.6018,0.68228,0.53661,0.85849,0.98024,1.13741,0.0006634,0.0006634,0.0006634
19,846.296,0.85242,1.07191,1.1516,0.74385,0.5862,0.66059,0.51619,0.86028,1.02598,1.1377,0.0006436,0.0006436,0.0006436
20,889.693,0.85215,1.05773,1.1504,0.76191,0.58542,0.66912,0.52517,0.86013,0.99973,1.14551,0.0006238,0.0006238,0.0006238
21,933.431,0.83691,1.02953,1.1427,0.78894,0.58912,0.68309,0.53777,0.85303,0.96957,1.12914,0.000604,0.000604,0.000604
22,977.041,0.83651,1.0168,1.13979,0.75915,0.59639,0.67583,0.53407,0.84834,1.01325,1.1323,0.0005842,0.0005842,0.0005842
23,1020.45,0.83574,1.00622,1.13873,0.7532,0.60487,0.68196,0.5351,0.84868,0.98477,1.13225,0.0005644,0.0005644,0.0005644
24,1064.03,0.83063,0.99737,1.14153,0.78281,0.62209,0.70664,0.55603,0.84508,0.92052,1.12476,0.0005446,0.0005446,0.0005446
25,1107.52,0.82976,0.97711,1.13406,0.78109,0.61012,0.69941,0.55236,0.83168,0.93463,1.12424,0.0005248,0.0005248,0.0005248
26,1150.94,0.82187,0.96324,1.12743,0.80325,0.62072,0.70991,0.55829,0.83257,0.89777,1.12067,0.000505,0.000505,0.000505
27,1194.37,0.80616,0.95397,1.12546,0.79874,0.61649,0.7033,0.55579,0.82289,0.91226,1.11123,0.0004852,0.0004852,0.0004852
28,1237.73,0.80321,0.94247,1.12471,0.79753,0.62726,0.71718,0.57044,0.82273,0.89136,1.10947,0.0004654,0.0004654,0.0004654
29,1281.18,0.79289,0.92955,1.11801,0.79129,0.63663,0.72255,0.57448,0.81772,0.87343,1.1041,0.0004456,0.0004456,0.0004456
30,1324.73,0.81294,0.93439,1.12033,0.81392,0.6297,0.72251,0.57556,0.81351,0.86271,1.10493,0.0004258,0.0004258,0.0004258
31,1368.23,0.78508,0.891,1.11128,0.82376,0.63424,0.72166,0.57692,0.80507,0.87671,1.09464,0.000406,0.000406,0.000406
32,1411.68,0.78923,0.89585,1.11014,0.81231,0.63622,0.73105,0.58432,0.80777,0.84496,1.10003,0.0003862,0.0003862,0.0003862
33,1455.2,0.78726,0.87991,1.109,0.80836,0.65379,0.73358,0.58658,0.80033,0.83964,1.09459,0.0003664,0.0003664,0.0003664
34,1498.74,0.77647,0.86597,1.10294,0.80088,0.64067,0.72909,0.5853,0.80506,0.85304,1.0967,0.0003466,0.0003466,0.0003466
35,1542.02,0.75965,0.85797,1.10058,0.79452,0.65559,0.73269,0.58498,0.79786,0.83899,1.09243,0.0003268,0.0003268,0.0003268
