epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,1585.3,0.77215,0.85734,1.10612,0.83618,0.64974,0.74233,0.59706,0.79001,0.83092,1.08617,0.000307,0.000307,0.000307
37,1628.76,0.76243,0.83851,1.09173,0.82205,0.65579,0.74455,0.60081,0.78479,0.80904,1.08325,0.0002872,0.0002872,0.0002872
38,1672.3,0.76626,0.82893,1.09443,0.81591,0.66812,0.74684,0.59984,0.78292,0.79841,1.07895,0.0002674,0.0002674,0.0002674
39,1715.6,0.76012,0.82725,1.0945,0.83579,0.6556,0.74589,0.60208,0.7809,0.80219,1.08042,0.0002476,0.0002476,0.0002476
40,1759.33,0.76293,0.81711,1.09031,0.82006,0.67316,0.75033,0.60592,0.77374,0.79721,1.07642,0.0002278,0.0002278,0.0002278
41,1803.33,0.75867,0.76211,1.0857,0.84544,0.65292,0.74717,0.60297,0.77772,0.79601,1.07482,0.000208,0.000208,0.000208
42,1846.68,0.75336,0.7342,1.07693,0.83512,0.6641,0.7512,0.60885,0.77076,0.78871,1.0705,0.0001882,0.0001882,0.0001882
43,1889.82,0.74063,0.71438,1.07137,0.85395,0.66253,0.75309,0.60957,0.76778,0.78469,1.06652,0.0001684,0.0001684,0.0001684
44,1933.06,0.73694,0.69456,1.07015,0.8556,0.66843,0.76256,0.61707,0.76399,0.77356,1.05962,0.0001486,0.0001486,0.0001486
45,1976.85,0.72824,0.68898,1.06169,0.84044,0.66975,0.76029,0.61623,0.76327,0.76926,1.06039,0.0001288,0.0001288,0.0001288
46,2019.91,0.72419,0.67239,1.06016,0.83354,0.6879,0.76218,0.61928,0.76158,0.76855,1.06352,0.000109,0.000109,0.000109
47,2062.95,0.7208,0.66169,1.05979,0.8456,0.67966,0.76402,0.62088,0.75538,0.76288,1.05785,8.92e-05,8.92e-05,8.92e-05
48,2105.98,0.7147,0.65438,1.056,0.85894,0.67261,0.7641,0.62272,0.75466,0.76502,1.05828,6.94e-05,6.94e-05,6.94e-05
49,2149.03,0.71423,0.64219,1.05117,0.83893,0.69074,0.76762,0.62715,0.75018,0.75199,1.05409,4.96e-05,4.96e-05,4.96e-05
50,2192.25,0.69932,0.63272,1.04457,0.84847,0.68437,0.76843,0.62693,0.75,0.75276,1.05328,2.98e-05,2.98e-05,2.98e-05
