epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3278,1.14752,2.81469,1.33304,0.38108,0.34871,0.30251,0.1978,1.18002,2.01156,1.31482,0.000332461,0.000332461,0.000332461
2,91.8487,1.14464,2.1725,1.33888,0.45407,0.35649,0.33746,0.22754,1.20418,1.8909,1.37317,0.00059988,0.00059988,0.00059988
3,135.482,1.13375,1.94223,1.32695,0.52154,0.38368,0.39388,0.27984,1.08981,1.72123,1.2945,0.0008013,0.0008013,0.0008013
4,179.001,1.09809,1.75908,1.30807,0.59018,0.4281,0.46073,0.32803,1.06708,1.55977,1.2827,0.000703,0.000703,0.000703
5,222.443,1.03788,1.59948,1.27166,0.60677,0.46725,0.5073,0.37176,1.01842,1.49768,1.23162,0.000604,0.000604,0.000604
6,265.458,0.9968,1.47594,1.23493,0.6752,0.4966,0.55425,0.41947,0.97474,1.31175,1.20695,0.000505,0.000505,0.000505
7,308.539,0.97058,1.3581,1.21887,0.68563,0.52926,0.5931,0.4546,0.92845,1.21208,1.17251,0.000406,0.000406,0.000406
8,351.63,0.92729,1.24573,1.1922,0.7544,0.56394,0.64072,0.49451,0.90029,1.1348,1.14797,0.000307,0.000307,0.000307
9,394.662,0.89065,1.16007,1.16832,0.75289,0.58849,0.66604,0.52309,0.87005,1.03879,1.12662,0.000208,0.000208,0.000208
10,437.847,0.86165,1.07493,1.14932,0.77637,0.59658,0.68512,0.53982,0.8472,1.00683,1.11317,0.000109,0.000109,0.000109
