epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1191,1.08533,2.4516,1.29274,0,0,0,0,0,443.329,0,0.000332635,0.000332635,0.000332635
2,107.685,1.05838,1.82935,1.2774,0,0,0,0,0,621.13,0,0.00065304,0.00065304,0.00065304
3,157.836,1.05217,1.71375,1.28231,0,0,0,0,0,614.556,0,0.000960505,0.000960505,0.000960505
4,207.743,1.02754,1.59384,1.26751,0,0,0,0,0,563.833,0,0.000941765,0.000941765,0.000941765
5,257.829,0.99964,1.48496,1.24494,0,0,0,0,0,579.741,0,0.000922353,0.000922353,0.000922353
