epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5529,1.13542,2.7289,1.33969,0,0,0,0,0,729.426,0,0.000332635,0.000332635,0.000332635
2,103.754,1.13314,2.09999,1.33705,0,0,0,0,0,532.296,0,0.000600037,0.000600037,0.000600037
3,153.692,1.11986,1.88351,1.33312,0,0,0,0,0,428.06,0,0.00080144,0.00080144,0.00080144
4,203.306,1.06842,1.69646,1.30193,0,0,0,0,0,490.704,0,0.000703,0.000703,0.000703
5,252.941,1.01407,1.52332,1.26278,0,0,0,0,0,468.472,0,0.000604,0.000604,0.000604
6,302.689,0.97715,1.40444,1.23512,0,0,0,0,0,524.278,0,0.000505,0.000505,0.000505
7,352.393,0.93964,1.29319,1.20999,0,0,0,0,0,542.565,0,0.000406,0.000406,0.000406
8,402.035,0.89252,1.18526,1.17939,0,0,0,0,0,690.602,0,0.000307,0.000307,0.000307
9,451.774,0.86886,1.1057,1.16561,0,0,0,0,0,661.361,0,0.000208,0.000208,0.000208
10,501.641,0.83711,1.03251,1.14734,0,0,0,0,0,760.389,0,0.000109,0.000109,0.000109
